transaction_id,date,product,quantity,price,customer_id,region,processed_at
TXN1001,2025-01-05,Laptop,1,1200,CUST501,Ontario,2025-01-05T10:15:30Z
TXN1002,2025-01-06,Mouse,2,25.5,CUST502,Quebec,2025-01-06T11:20:45Z
TXN1003,2025-01-06,Keyboard,1,75,CUST503,British Columbia,2025-01-06T14:05:10Z
TXN1004,2025-01-07,Monitor,2,300,CUST504,Alberta,2025-01-07T09:45:00Z
TXN1005,2025-01-07,Headphones,1,150,CUST505,Ontario,2025-01-07T16:30:25Z
TXN1006,2025-01-08,Webcam,3,80,CUST506,Manitoba,2025-01-08T12:10:55Z
TXN1007,2025-01-08,Printer,1,250,CUST507,Saskatchewan,2025-01-08T18:40:15Z
TXN1008,2025-01-09,Tablet,2,500,CUST508,Nova Scotia,2025-01-09T08:55:35Z
TXN1009,2025-01-09,USB Cable,5,10,CUST509,Ontario,2025-01-09T13:25:50Z
TXN1010,2025-01-10,External HDD,1,180,CUST510,Quebec,2025-01-10T17:05:05Z
,,,,,,,
